Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,total-inflows,count,3357
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,total-outflows,count,3389
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,total-net,count,-32
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,other-changes,count,1
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,migration-and-other-changes,count,-31
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,end-population,count,114230
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,starting-population,count,135280
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,births,count,1803
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,deaths,count,1050
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,natural-change,count,753
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,internal-inflows,count,5171
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,internal-outflows,count,4352
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,internal-net,count,819
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,united-kingdom-inflows,count,816
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,united-kingdom-outflows,count,1063
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,united-kingdom-net,count,-247
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,rest-of-world-inflows,count,551
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,rest-of-world-outflows,count,582
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,rest-of-world-net,count,-31
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,total-inflows,count,6538
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,total-outflows,count,5997
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,total-net,count,541
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,other-changes,count,-263
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,migration-and-other-changes,count,278
components-of-population-change-local-government-districts,2011-2012,lisburn-and-castlereagh,end-population,count,136311
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,starting-population,count,135365
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,births,count,1600
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,deaths,count,1137
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,natural-change,count,463
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,internal-inflows,count,2654
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,internal-outflows,count,2614
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,internal-net,count,40
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,united-kingdom-inflows,count,665
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,united-kingdom-outflows,count,801
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,united-kingdom-net,count,-136
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,rest-of-world-inflows,count,607
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,rest-of-world-outflows,count,500
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,rest-of-world-net,count,107
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,total-inflows,count,3926
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,total-outflows,count,3915
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,total-net,count,11
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,other-changes,count,-1
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,migration-and-other-changes,count,10
components-of-population-change-local-government-districts,2011-2012,mid-and-east-antrim,end-population,count,135838
components-of-population-change-local-government-districts,2011-2012,mid-ulster,starting-population,count,139011
components-of-population-change-local-government-districts,2011-2012,mid-ulster,births,count,2091
components-of-population-change-local-government-districts,2011-2012,mid-ulster,deaths,count,889
components-of-population-change-local-government-districts,2011-2012,mid-ulster,natural-change,count,1202
components-of-population-change-local-government-districts,2011-2012,mid-ulster,internal-inflows,count,2462
components-of-population-change-local-government-districts,2011-2012,mid-ulster,internal-outflows,count,2724
components-of-population-change-local-government-districts,2011-2012,mid-ulster,internal-net,count,-262
components-of-population-change-local-government-districts,2011-2012,mid-ulster,united-kingdom-inflows,count,494
components-of-population-change-local-government-districts,2011-2012,mid-ulster,united-kingdom-outflows,count,608
components-of-population-change-local-government-districts,2011-2012,mid-ulster,united-kingdom-net,count,-114
components-of-population-change-local-government-districts,2011-2012,mid-ulster,rest-of-world-inflows,count,1426
components-of-population-change-local-government-districts,2011-2012,mid-ulster,rest-of-world-outflows,count,927
components-of-population-change-local-government-districts,2011-2012,mid-ulster,rest-of-world-net,count,499
components-of-population-change-local-government-districts,2011-2012,mid-ulster,total-inflows,count,4382
components-of-population-change-local-government-districts,2011-2012,mid-ulster,total-outflows,count,4259
components-of-population-change-local-government-districts,2011-2012,mid-ulster,total-net,count,123
components-of-population-change-local-government-districts,2011-2012,mid-ulster,other-changes,count,21
components-of-population-change-local-government-districts,2011-2012,mid-ulster,migration-and-other-changes,count,144
components-of-population-change-local-government-districts,2011-2012,mid-ulster,end-population,count,140357
components-of-population-change-local-government-districts,2011-2012,newry-mourne-and-down,starting-population,count,172276
